antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,algorithm,context,context_n,support_count,rule_str,normalized_rule
"frozenset({'credit_file_thin', 'leverage_3_to_6x'})",frozenset({'credit_medium'}),0.08363672088812789,0.3439278045220418,0.040167857293230975,0.4802658074909384,1.3964145997395185,1.0,0.011402863500754357,1.262322558211368,0.3097901340091423,0.10368663594470046,0.20780945132047907,0.2985286728067297,apriori,Portfolio-wide,356255,14310,"{credit_file_thin, leverage_3_to_6x} -> {credit_medium}","{credit_file_thin, leverage_3_to_6x} -> {credit_medium}"
"frozenset({'external_score_weak', 'credit_file_thin'})",frozenset({'credit_small'}),0.0753533283743386,0.334033206551487,0.031334297062497365,0.4158316260011175,1.2448811011758567,1.0,0.006163783161289894,1.1400254157712872,0.21274119036256958,0.08288351165328957,0.12282657371858059,0.254818780202515,apriori,Portfolio-wide,356255,11163,"{credit_file_thin, external_score_weak} -> {credit_small}","{credit_file_thin, external_score_weak} -> {credit_small}"
"frozenset({'income_q1', 'credit_file_thin'})",frozenset({'credit_small'}),0.08642124321062161,0.334033206551487,0.04733126552609788,0.5476809146420683,1.6396002071059068,1.0,0.018463700542288016,1.472338477430189,0.426996818061248,0.12685158019063095,0.3208083498942485,0.3446886014542767,apriori,Portfolio-wide,356255,16862,"{credit_file_thin, income_q1} -> {credit_small}","{credit_file_thin, income_q1} -> {credit_small}"
"frozenset({'credit_small', 'credit_file_thin'})",frozenset({'income_q1'}),0.08419250256136757,0.320088139113837,0.04733126552609788,0.5621791024871641,1.7563259421094302,1.0,0.02038224405389278,1.5529451991638419,0.4702184723204625,0.1325993787598789,0.3560622740979954,0.35502428943340425,apriori,Portfolio-wide,356255,16862,"{credit_file_thin, credit_small} -> {income_q1}","{credit_file_thin, credit_small} -> {income_q1}"
"frozenset({'leverage_under_3x', 'credit_file_thin'})",frozenset({'credit_small'}),0.10835216347840732,0.334033206551487,0.07168180095717955,0.6615631719385509,1.9805311536791157,1.0,0.03548858035369623,1.9677728256204876,0.5552471759570237,0.1933669026615682,0.49181125637067635,0.43807900363803454,apriori,Portfolio-wide,356255,25537,"{credit_file_thin, leverage_under_3x} -> {credit_small}","{credit_file_thin, leverage_under_3x} -> {credit_small}"
"frozenset({'credit_small', 'credit_file_thin'})",frozenset({'leverage_under_3x'}),0.08419250256136757,0.47446632327967325,0.07168180095717955,0.8514036140561445,1.794444773595209,1.0,0.031735293819173005,3.53665180604655,0.48342535048282537,0.14719750069169052,0.7172466912659262,0.5012412051266459,apriori,Portfolio-wide,356255,25537,"{credit_file_thin, credit_small} -> {leverage_under_3x}","{credit_file_thin, credit_small} -> {leverage_under_3x}"
"frozenset({'external_score_weak', 'credit_file_thin'})",frozenset({'income_q1'}),0.0753533283743386,0.320088139113837,0.030960968968856577,0.4108772583348855,1.2836378738443663,1.0,0.0068412623134806415,1.1541090044571005,0.23897137807002017,0.0849454747088904,0.1335307183827011,0.2538018222782089,apriori,Portfolio-wide,356255,11030,"{credit_file_thin, external_score_weak} -> {income_q1}","{credit_file_thin, external_score_weak} -> {income_q1}"
"frozenset({'previous_approval_high', 'credit_file_thin'})",frozenset({'income_q1'}),0.12729365201891904,0.320088139113837,0.05116840465396977,0.4019713775386447,1.2558146598355728,1.0,0.010423216458229655,1.1369219387657301,0.23341660348963608,0.12914355344909426,0.1204321370685977,0.2809143059240056,apriori,Portfolio-wide,356255,18229,"{credit_file_thin, previous_approval_high} -> {income_q1}","{credit_file_thin, previous_approval_high} -> {income_q1}"
"frozenset({'credit_file_thin', 'previous_two_to_four'})",frozenset({'income_q1'}),0.09355938864015943,0.320088139113837,0.03699035803006274,0.39536767573730164,1.2351837741688143,1.0,0.007043107423605845,1.1245046511783208,0.2100566439446401,0.0982069664495551,0.11071955198038329,0.2554653572533903,apriori,Portfolio-wide,356255,13178,"{credit_file_thin, previous_two_to_four} -> {income_q1}","{credit_file_thin, previous_two_to_four} -> {income_q1}"
"frozenset({'repayment_clean_observed', 'credit_file_thin'})",frozenset({'income_q1'}),0.10893882191127142,0.320088139113837,0.04243028168025712,0.38948724555526926,1.2168124899396882,1.0,0.00756025689742456,1.1136734751832524,0.19996459851018988,0.10975335264690295,0.10207073950876656,0.2610226823481099,apriori,Portfolio-wide,356255,15116,"{credit_file_thin, repayment_clean_observed} -> {income_q1}","{credit_file_thin, repayment_clean_observed} -> {income_q1}"
