threshold_uplift,flagged_share,precision,recall,lift_vs_baseline
1.0,0.3130001853592229,0.09995740303996842,0.38755287009063444,1.2381873500996468
1.05,0.3130001853592229,0.09995740303996842,0.38755287009063444,1.2381873500996468
1.1,0.28516378275899074,0.10052342885814963,0.3550855991943605,1.245198796841831
1.15,0.17372711870469673,0.10817438182056417,0.23278952668680766,1.3399722992154486
1.2,0.17372711870469673,0.10817438182056417,0.23278952668680766,1.3399722992154486
1.25,0.17372711870469673,0.10817438182056417,0.23278952668680766,1.3399722992154486
1.3,0.17372711870469673,0.10817438182056417,0.23278952668680766,1.3399722992154486
1.35,0.02230164124210191,0.11869349664625255,0.03278952668680765,1.4702741529581376
1.4,0.02230164124210191,0.11869349664625255,0.03278952668680765,1.4702741529581376
1.45,0.013443421536140171,0.11562651185292695,0.019254783484390737,1.4322829521210643
1.5,0.0,0.0,0.0,0.0
