,Adjusted IQR,Z-score,Shrinkage Mahalanobis,Isolation Forest,LOF,DBSCAN sample
Adjusted IQR,1.0,0.15684348395546824,0.07412086755106338,0.047071072387528085,0.052294997421351214,0.04973942366646229
Z-score,0.15684348395546824,1.0,0.25710859883521753,0.22718284941200959,0.13686004182480055,0.2333220223956566
Shrinkage Mahalanobis,0.07412086755106338,0.25710859883521753,1.0,0.21825559658961383,0.19093461692739672,0.2519976498237368
Isolation Forest,0.047071072387528085,0.22718284941200959,0.21825559658961383,1.0,0.1311489289645246,0.32272468589940023
LOF,0.052294997421351214,0.13686004182480055,0.19093461692739672,0.1311489289645246,1.0,0.20642020041895487
DBSCAN sample,0.04973942366646229,0.2333220223956566,0.2519976498237368,0.32272468589940023,0.20642020041895487,1.0
