k,inertia,silhouette,calinski_harabasz,davies_bouldin,min_cluster_share,max_cluster_share,time_s
2,288126.4375,0.2639312446117401,826.6947538664906,1.7324341753865422,0.1664,0.8336,6.31
3,254719.359375,0.2680966854095459,790.5542577412924,1.4315337892471132,0.0236,0.8119333333333333,3.36
4,227064.3125,0.1454143524169922,780.0940811570985,1.7878635617157732,0.0228,0.4312,3.04
5,209015.640625,0.14778932929039001,746.4674906314892,1.7241310849180156,0.0226,0.34353333333333336,2.15
6,196675.84375,0.1523270457983017,690.03289573842,1.5790118219564917,0.014,0.3406,1.71
7,185243.96875,0.1408478319644928,659.511366826483,1.5858073886049484,0.0136,0.2588666666666667,4.03
8,176757.28125,0.1494349092245102,631.8263247024073,1.523329750043058,0.0134,0.2392,2.59
9,169670.890625,0.1417962610721588,602.3833481575997,1.5121336813246427,0.0134,0.19193333333333334,2.16
10,165951.15625,0.12581633031368256,555.3099225600845,1.7529894250576714,0.013333333333333334,0.173,1.91
